model,path,plane,true_idx,pred_idx,correct,confidence,brier
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00001_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00002_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00003_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00004_gl_ax_t1.jpg,axial,0,0,True,0.5547,0.30108747566736005
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00005_gl_ax_t1.jpg,axial,0,0,True,0.9985,3.5122531999998372e-06
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00006_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00007_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00008_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00009_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00010_gl_ax_t1.jpg,axial,0,0,True,1.0,2.4025e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00011_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00012_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
