model,bin_index,lower_bound,upper_bound,n,accuracy,mean_confidence,confidence_minus_accuracy
EfficientNet-B0,1,0.0,0.06666666666666667,0,,,
EfficientNet-B0,2,0.06666666666666667,0.13333333333333333,0,,,
EfficientNet-B0,3,0.13333333333333333,0.2,0,,,
EfficientNet-B0,4,0.2,0.26666666666666666,0,,,
EfficientNet-B0,5,0.26666666666666666,0.3333333333333333,0,,,
EfficientNet-B0,6,0.3333333333333333,0.4,0,,,
EfficientNet-B0,7,0.4,0.4666666666666667,0,,,
EfficientNet-B0,8,0.4666666666666667,0.5333333333333333,1,1.0,0.5166,-0.48340000000000005
EfficientNet-B0,9,0.5333333333333333,0.6,1,1.0,0.5547,-0.44530000000000003
EfficientNet-B0,10,0.6,0.6666666666666666,0,,,
EfficientNet-B0,11,0.6666666666666666,0.7333333333333333,0,,,
EfficientNet-B0,12,0.7333333333333333,0.8,3,0.6666666666666666,0.7718666666666666,0.10519999999999996
EfficientNet-B0,13,0.8,0.8666666666666667,0,,,
EfficientNet-B0,14,0.8666666666666667,0.9333333333333333,4,0.75,0.89905,0.14905000000000002
EfficientNet-B0,15,0.9333333333333333,1.0,991,0.9979818365287588,0.9996927346115035,0.0017108980827447162
ConvNeXt-Tiny,1,0.0,0.06666666666666667,0,,,
ConvNeXt-Tiny,2,0.06666666666666667,0.13333333333333333,0,,,
ConvNeXt-Tiny,3,0.13333333333333333,0.2,0,,,
ConvNeXt-Tiny,4,0.2,0.26666666666666666,0,,,
ConvNeXt-Tiny,5,0.26666666666666666,0.3333333333333333,0,,,
ConvNeXt-Tiny,6,0.3333333333333333,0.4,0,,,
ConvNeXt-Tiny,7,0.4,0.4666666666666667,0,,,
ConvNeXt-Tiny,8,0.4666666666666667,0.5333333333333333,1,1.0,0.5204759,-0.4795241
ConvNeXt-Tiny,9,0.5333333333333333,0.6,2,0.0,0.55123511,0.55123511
ConvNeXt-Tiny,10,0.6,0.6666666666666666,2,0.5,0.6449590000000001,0.14495900000000006
ConvNeXt-Tiny,11,0.6666666666666666,0.7333333333333333,0,,,
ConvNeXt-Tiny,12,0.7333333333333333,0.8,3,0.3333333333333333,0.7759169833333334,0.44258365000000005
ConvNeXt-Tiny,13,0.8,0.8666666666666667,1,1.0,0.8159825,-0.18401749999999995
ConvNeXt-Tiny,14,0.8666666666666667,0.9333333333333333,5,0.8,0.888938402,0.08893840199999992
ConvNeXt-Tiny,15,0.9333333333333333,1.0,986,0.9918864097363083,0.9995475958215011,0.007661186085192839
TrustSeg-XAI,1,0.0,0.06666666666666667,0,,,
TrustSeg-XAI,2,0.06666666666666667,0.13333333333333333,0,,,
TrustSeg-XAI,3,0.13333333333333333,0.2,0,,,
TrustSeg-XAI,4,0.2,0.26666666666666666,0,,,
TrustSeg-XAI,5,0.26666666666666666,0.3333333333333333,0,,,
TrustSeg-XAI,6,0.3333333333333333,0.4,0,,,
TrustSeg-XAI,7,0.4,0.4666666666666667,0,,,
TrustSeg-XAI,8,0.4666666666666667,0.5333333333333333,0,,,
TrustSeg-XAI,9,0.5333333333333333,0.6,0,,,
TrustSeg-XAI,10,0.6,0.6666666666666666,0,,,
TrustSeg-XAI,11,0.6666666666666666,0.7333333333333333,0,,,
TrustSeg-XAI,12,0.7333333333333333,0.8,1,1.0,0.777,-0.22299999999999998
TrustSeg-XAI,13,0.8,0.8666666666666667,1,0.0,0.85,0.85
TrustSeg-XAI,14,0.8666666666666667,0.9333333333333333,1,1.0,0.9155,-0.08450000000000002
TrustSeg-XAI,15,0.9333333333333333,1.0,997,0.9909729187562688,0.9998320962888666,0.008859177532597795
