selection_id,dataset_index,path,class_name,plane,true_idx,target_class_idx,target_class_name,phase9_correct,original_pred_idx,tumor_occluded_pred_idx,background_occluded_pred_idx,original_target_probability,tumor_occluded_target_probability,background_occluded_target_probability,delta_p_tumor,delta_p_background,faithfulness_margin,tumor_greater_than_background,tumor_flip,background_flip,tumor_pixels,background_pixels,control_method
1,455,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00456_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9998428821563721,0.9998766183853149,0.9998428821563721,-3.3736228942871094e-05,0.0,-3.3736228942871094e-05,False,False,False,405,405,translated_exact_shape
2,130,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00131_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9998595714569092,0.13094951212406158,0.999863862991333,0.8689100593328476,-4.291534423828125e-06,0.8689143508672714,True,True,False,624,624,translated_exact_shape
3,905,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00906_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999984502792358,0.9999982118606567,0.9999984502792358,2.384185791015625e-07,0.0,2.384185791015625e-07,True,False,False,849,849,translated_exact_shape
4,420,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00421_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.999998927116394,0.9999991655349731,0.9999988079071045,-2.384185791015625e-07,1.1920928955078125e-07,-3.5762786865234375e-07,False,False,False,3039,3039,translated_exact_shape
5,402,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00403_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,3,1,0.9996360540390015,8.766731298237573e-06,0.9996381998062134,0.9996272873077032,-2.1457672119140625e-06,0.9996294330749151,True,True,False,1309,1309,translated_exact_shape
6,100,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00101_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,0,0,0.9999980926513672,0.9999967813491821,0.9999980926513672,1.3113021850585938e-06,0.0,1.3113021850585938e-06,True,False,False,472,472,translated_exact_shape
7,254,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00255_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,1,1,0.9993420243263245,0.999998927116394,0.9991287589073181,-0.0006569027900695801,0.00021326541900634766,-0.0008701682090759277,False,False,False,3761,3761,translated_exact_shape
8,966,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00967_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999978542327881,0.9999972581863403,0.9999942779541016,5.960464477539062e-07,3.5762786865234375e-06,-2.9802322387695312e-06,False,False,False,609,609,translated_exact_shape
9,406,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00407_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9999986886978149,0.9999988079071045,0.9999986886978149,-1.1920928955078125e-07,0.0,-1.1920928955078125e-07,False,False,False,2063,2063,translated_exact_shape
10,468,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00469_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9999946355819702,0.9999951124191284,0.9999947547912598,-4.76837158203125e-07,-1.1920928955078125e-07,-3.5762786865234375e-07,False,False,False,1271,1271,translated_exact_shape
