split,class_name,plane,count
test,glioma,axial,85
test,glioma,coronal,81
test,glioma,sagittal,88
test,meningioma,axial,137
test,meningioma,coronal,86
test,meningioma,sagittal,83
test,no_tumor,axial,52
test,no_tumor,coronal,48
test,no_tumor,sagittal,40
test,pituitary,axial,124
test,pituitary,coronal,90
test,pituitary,sagittal,86
train,glioma,axial,394
train,glioma,coronal,430
train,glioma,sagittal,323
train,meningioma,axial,423
train,meningioma,coronal,426
train,meningioma,sagittal,480
train,no_tumor,axial,352
train,no_tumor,coronal,310
train,no_tumor,sagittal,405
train,pituitary,axial,426
train,pituitary,coronal,510
train,pituitary,sagittal,521
