task,split,class_name,class_idx,filename,stem,pair_key,extension,path,relative_path,plane,valid,error,width,height,channels,mode,format,file_size_bytes,sha256,phash,has_expert_mask,expert_mask_path,mask_source,seg_target_valid,filename_prefix,filename_suffix
classification,train,glioma,0,brisc2025_train_00395_gl_co_t1.jpg,brisc2025_train_00395_gl_co_t1,brisc2025train00395glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00395_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00395_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23127,18a7abdb3b9aaa94fa5b869c3c5f607e374209812c759b255fe3c0c8d2ba6981,966978b570c66396,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00395_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00396_gl_co_t1.jpg,brisc2025_train_00396_gl_co_t1,brisc2025train00396glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00396_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00396_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23937,b3ec494e72077c55ef5eabb26d4a052768239a68e36d79392b744456aa415093,87787a2565866e96,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00396_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00397_gl_co_t1.jpg,brisc2025_train_00397_gl_co_t1,brisc2025train00397glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00397_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00397_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,22244,444bae1e124b294c0d77c7bcf7270d61c8cdc0ea61e97d3a58fba3ac7c21d15a,96613a3f39e63834,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00397_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00398_gl_co_t1.jpg,brisc2025_train_00398_gl_co_t1,brisc2025train00398glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00398_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00398_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,24647,a2d02c26384bc3481f47aeff777a9003bf7a7cc242a30d326cf4a5717f6e597c,c2c83b9d6c793178,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00398_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00399_gl_co_t1.jpg,brisc2025_train_00399_gl_co_t1,brisc2025train00399glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00399_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00399_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,21494,cc72bdbe5b14b0ec86d1b240a5c02a2ad437c4ef27f9463448c101caa845352f,946b3e2b399c682d,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00399_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00400_gl_co_t1.jpg,brisc2025_train_00400_gl_co_t1,brisc2025train00400glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00400_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00400_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26619,dcb05cd082c7b8932218766ef3bfb67e94e26f801a20647f5dc838b59a67ac4c,96c92f0f3cc9383c,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00400_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00401_gl_co_t1.jpg,brisc2025_train_00401_gl_co_t1,brisc2025train00401glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00401_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00401_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,24275,c4816b8570228e8f92e41f8fafe01b750e6c1a7c0c2face8b7493a14f99c6470,864a2f2d38e6783d,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00401_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00402_gl_co_t1.jpg,brisc2025_train_00402_gl_co_t1,brisc2025train00402glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00402_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00402_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23025,043a2e8857ac164f6228500db9060a24c3b5ac99ffddcbc15c7342b09f35fbc9,87687b6579cc7031,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00402_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00403_gl_co_t1.jpg,brisc2025_train_00403_gl_co_t1,brisc2025train00403glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00403_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00403_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23730,81e9fe962fd5d9d395e58136c220c68e3a184559ac4e72227e23a5c9ec80dc48,d2693f1e39693035,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00403_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00404_gl_co_t1.jpg,brisc2025_train_00404_gl_co_t1,brisc2025train00404glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00404_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00404_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25931,6afa32ba6a1ef582cc869d8cae9a582ec8ccdde307ce923a7bee83f705a9d235,c43a3b356d707265,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00404_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00405_gl_co_t1.jpg,brisc2025_train_00405_gl_co_t1,brisc2025train00405glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00405_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00405_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,24549,5c6227da4a215de8e9e292d38bef18ea26feef4ee9d168aa9221c7d5c69563ae,c43a3f386df47061,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00405_gl_co_t1.png,expert,True,brisc2025,t1
