index_a,index_b,distance,class_a,class_b,same_class,path_a,path_b
13,1310,6,glioma,meningioma,False,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00014_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\meningioma\brisc2025_train_01316_me_ax_t1.jpg
13,1311,6,glioma,meningioma,False,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00014_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\meningioma\brisc2025_train_01317_me_ax_t1.jpg
13,2359,4,glioma,meningioma,False,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00014_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\meningioma\brisc2025_train_02378_me_sa_t1.jpg
20,21,6,glioma,glioma,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00021_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00022_gl_ax_t1.jpg
22,319,6,glioma,glioma,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00023_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00320_gl_ax_t1.jpg
22,320,6,glioma,glioma,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00023_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00321_gl_ax_t1.jpg
22,1189,6,glioma,meningioma,False,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00023_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\meningioma\brisc2025_train_01190_me_ax_t1.jpg
26,1161,6,glioma,meningioma,False,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00027_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\meningioma\brisc2025_train_01162_me_ax_t1.jpg
30,271,6,glioma,glioma,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00031_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00272_gl_ax_t1.jpg
30,272,6,glioma,glioma,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00031_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00273_gl_ax_t1.jpg
