split,pair_key,image_path,mask_path,image_valid,mask_valid,image_width,image_height,mask_width,mask_height,size_match,mask_empty,tumor_pixels,total_pixels,tumor_area_ratio,mask_min,mask_max,mask_unique_values,image_sha256,mask_sha256,error,plane,plane_sha_audit,plane_exact_mapping,plane_filename,plane_source,plane_verified
train,brisc2025train00001glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00001_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00001_gl_ax_t1.png,True,True,512,512,512,512,True,False,17153,262144,0.06543350219726562,0,255,16,e803a3e10f73f993deb46672b973ef17c17b9535964bc0b1e18cd6bbf531442c,6fe11e0bd025a4e39804dadf954eea923301da9aca18ca7e094dfb42be8f4947,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00002glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00002_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00002_gl_ax_t1.png,True,True,512,512,512,512,True,False,16522,262144,0.06302642822265625,0,255,17,45f2241b30fd00f31ac348b51c494a3eb371a288cc3e61060cb55192ba3d9b26,342bf2bef60f4356977f83a7c43439627b95e52e76096024b4cec55f2cc5a7b7,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00003glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00003_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00003_gl_ax_t1.png,True,True,512,512,512,512,True,False,3142,262144,0.01198577880859375,0,255,14,3033d7eefcf473a85c5e9392790cdfe047cc3538726156b7144dd486947bd808,411918265fdc5748f0447fa1af391f83b367eeb98d3e42b7362214afcc3c541b,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00004glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00004_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00004_gl_ax_t1.png,True,True,512,512,512,512,True,False,2662,262144,0.01015472412109375,0,255,16,bd05dccad67cc85ab25fdef6ff9dd6a8af521d8bb89a0a47261957a29e4fcab8,2aa2d36d02cc49b2d9ac33cc6d3b06fdddb37ceeefa7e03650cb623d4caf638c,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00005glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00005_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00005_gl_ax_t1.png,True,True,512,512,512,512,True,False,4130,262144,0.01575469970703125,0,255,15,b28ebe80454818c55fc8568b7e4e0e66800e7c84f0564635d431385542a5105b,a1afc7baa107c283e32648769bdcac71f5c40cb26d4d5c89912c72b481f7badf,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00006glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00006_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00006_gl_ax_t1.png,True,True,512,512,512,512,True,False,3785,262144,0.014438629150390625,0,255,15,db97040f6fe73fde4a7953a76fb1ba1d59debfe73e53c63c9763e36d2c0abf39,2ab4ce392d4e79221e49697bb1b6dd0e18f7f5da03c2ab59c2170ff94adf0638,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00007glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00007_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00007_gl_ax_t1.png,True,True,512,512,512,512,True,False,9247,262144,0.035274505615234375,0,255,16,79f97095d65881c61646194067fee5251af85f552c5f8cc1e0925e3e28745b99,db70843e54e3e70ac87332868f97a388045698ae502ac640b9b6775443683230,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00008glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00008_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00008_gl_ax_t1.png,True,True,512,512,512,512,True,False,10460,262144,0.0399017333984375,0,255,14,c384b3a255b5ada9f8e45c230745f26058ac0b3ce397876d09579797af6ccef4,1b08e1f921a79367c73e18cd6d6ac7ad89da9e80a8c36e4363510ddea1b6a380,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00009glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00009_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00009_gl_ax_t1.png,True,True,512,512,512,512,True,False,3929,262144,0.014987945556640625,0,255,15,911d3626b8a05a725fa6978fe84a020a04115e848bcf3cb3e6a267a85467298b,2319293abf4a847bc7ecd34adf6820ad6e0ae5320fc18ec6bc45cf1e46363e82,,axial,axial,axial,axial,brisc_filename_token,True
train,brisc2025train00010glaxt1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_00010_gl_ax_t1.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00010_gl_ax_t1.png,True,True,512,512,512,512,True,False,5289,262144,0.020175933837890625,0,255,14,b3e060d18e8df599cb6edb786f45ea79b27e1d581c4dfce3a442e22972f59b2a,70eea467dd3ad4c88627206a677efbc0c7bd99e280edf4c234ec1e13823e911c,,axial,axial,axial,axial,brisc_filename_token,True
