split,pair_key,image_path,image_sha256,plane_sha_audit,plane_exact_mapping,plane_filename,plane
train,brisc2025train01648mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01648_me_co_t1.jpg,622644677145b5202656ca1d281cc6680c12f440a077e4af7f5e85493a1b890f,axial,coronal,coronal,coronal
train,brisc2025train01649mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01649_me_co_t1.jpg,1105b29d6d5b9c2a3c59314b8fc63c661df43e488beb0d996a1bea7079643b42,axial,coronal,coronal,coronal
train,brisc2025train01650mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01650_me_co_t1.jpg,b53353cf2ca67b3a2cfc03843a14a774c08257de9a0f44f016f3c6650955a619,axial,coronal,coronal,coronal
train,brisc2025train01651mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01651_me_co_t1.jpg,a75f3d6a34ffafc4fb88ae4bbd95408fbe07bae9404dcb2931fd9b557f786762,axial,coronal,coronal,coronal
train,brisc2025train01652mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01652_me_co_t1.jpg,2c8be230a33c267864fdce27d56db309cd612981d9bb68b2b3ce9b8f18e57c31,axial,coronal,coronal,coronal
train,brisc2025train01887mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01887_me_co_t1.jpg,db01a452cd2bc8950a03e6ea270b6b20e439fde923c9a2cd30b212f3443b698b,axial,coronal,coronal,coronal
train,brisc2025train01997mesat1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_01997_me_sa_t1.jpg,fce25282f9c298280721e6608db8dd49289984e7004b61c4dd142d442735ecce,coronal,sagittal,sagittal,sagittal
train,brisc2025train02286mesat1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_02286_me_sa_t1.jpg,e2a955142f1b608205f3bc0ef078d801a644682d608e894950e2d1d85b543e75,axial,sagittal,sagittal,sagittal
train,brisc2025train02310mesat1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_02310_me_sa_t1.jpg,6850de4414799ffeff8453156b05e59049870b1e0801f956558ca825482a3a13,axial,sagittal,sagittal,sagittal
train,brisc2025train02365mesat1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_02365_me_sa_t1.jpg,d8934847ee16e6194ed30b5ba09727b530eaade5f8660632f768619a525a5bbd,axial,sagittal,sagittal,sagittal
train,brisc2025train02394mesat1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\images\brisc2025_train_02394_me_sa_t1.jpg,aa050bde7cc73aaa0e59adc79f95ba3018346d444340ae65aef92add28224323,axial,sagittal,sagittal,sagittal
test,brisc2025test00092glcot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\images\brisc2025_test_00092_gl_co_t1.jpg,0de951286256834bd2ddc4e26fe9795265fc200a9f7c85af3fc707eb0bfc8803,axial,coronal,coronal,coronal
test,brisc2025test00429mecot1,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\images\brisc2025_test_00429_me_co_t1.jpg,94247e44617a135f0ce0ad29fcdff8c7bf484f3f2e4a9826c2ba4267709e5706,axial,coronal,coronal,coronal
